	id	Evaluator	Seen	Score
0	1	Luna	0	0.0
1	2	Luna	1	7.5
2	3	Luna	1	7.5
3	4	Luna	0	0.0
4	5	Luna	0	0.0
5	6	Luna	1	8.0
6	7	Luna	0	0.0
7	8	Luna	0	0.0
8	9	Luna	1	5.0
9	10	Luna	1	7.0
10	11	Luna	1	8.0
11	12	Luna	0	0.0
12	13	Luna	0	0.0
13	14	Luna	0	0.0
14	15	Luna	1	8.0
15	16	Luna	1	8.0
16	17	Luna	1	8.0
17	18	Luna	1	8.0
18	19	Luna	1	8.0
19	20	Luna	0	0.0
20	21	Luna	1	6.0
21	22	Luna	0	0.0
22	23	Luna	0	0.0
23	24	Luna	0	0.0
24	25	Luna	0	0.0
25	26	Luna	1	9.0
26	27	Luna	0	0.0
27	28	Luna	0	0.0
28	29	Luna	0	0.0
29	30	Luna	0	0.0
30	31	Luna	0	0.0
31	32	Luna	0	0.0
32	33	Luna	0	0.0
33	34	Luna	0	0.0
34	35	Luna	0	0.0
35	36	Luna	0	0.0
36	37	Luna	0	0.0
37	38	Luna	1	7.0
38	39	Luna	1	7.5
39	40	Luna	0	0.0
40	41	Luna	0	0.0
41	42	Luna	0	0.0
42	43	Luna	0	0.0
43	44	Luna	0	0.0
44	45	Luna	0	0.0
45	46	Luna	1	7.0
46	47	Luna	0	0.0
47	48	Luna	1	8.0
48	49	Luna	0	0.0
49	50	Luna	0	0.0
50	51	Luna	0	0.0
51	52	Luna	0	0.0
52	53	Luna	1	6.0
53	54	Luna	1	7.0
54	55	Luna	0	0.0
55	56	Luna	0	0.0
56	57	Luna	1	0.0
57	58	Luna	1	6.0
58	59	Luna	1	0.0
59	60	Luna	0	0.0
60	61	Luna	0	0.0
61	62	Luna	1	7.0
62	63	Luna	0	0.0
63	64	Luna	0	0.0
64	65	Luna	0	0.0
65	66	Luna	0	0.0
66	67	Luna	0	0.0
67	68	Luna	0	0.0
68	69	Luna	0	0.0
69	70	Luna	0	0.0
70	71	Luna	0	0.0
71	72	Luna	0	0.0
72	73	Luna	0	0.0
73	74	Luna	1	8.0
74	75	Luna	0	0.0
75	76	Luna	0	0.0
76	77	Luna	0	0.0
77	78	Luna	0	0.0
78	79	Luna	0	0.0
79	80	Luna	0	0.0
80	81	Luna	0	0.0
81	82	Luna	0	0.0
82	83	Luna	0	0.0
83	84	Luna	0	0.0
84	85	Luna	0	0.0
85	86	Luna	0	0.0
86	87	Luna	0	0.0
87	88	Luna	0	0.0
88	89	Luna	0	0.0
89	90	Luna	0	0.0
90	91	Luna	1	9.0
91	92	Luna	0	0.0
92	93	Luna	0	0.0
93	94	Luna	0	0.0
94	95	Luna	0	0.0
95	96	Luna	0	0.0
96	97	Luna	0	0.0
97	98	Luna	0	0.0
98	99	Luna	0	0.0
99	100	Luna	1	9.0
0	1	Jay	0	0.0
1	2	Jay	0	0.0
2	3	Jay	0	0.0
3	4	Jay	0	0.0
4	5	Jay	0	0.0
5	6	Jay	0	0.0
6	7	Jay	0	0.0
7	8	Jay	0	0.0
8	9	Jay	0	0.0
9	10	Jay	0	0.0
10	11	Jay	0	0.0
11	12	Jay	0	0.0
12	13	Jay	0	0.0
13	14	Jay	0	0.0
14	15	Jay	0	0.0
15	16	Jay	0	0.0
16	17	Jay	0	0.0
17	18	Jay	0	0.0
18	19	Jay	0	0.0
19	20	Jay	0	0.0
20	21	Jay	0	0.0
21	22	Jay	0	0.0
22	23	Jay	0	0.0
23	24	Jay	0	0.0
24	25	Jay	0	0.0
25	26	Jay	0	0.0
26	27	Jay	0	0.0
27	28	Jay	0	0.0
28	29	Jay	0	0.0
29	30	Jay	0	0.0
30	31	Jay	0	0.0
31	32	Jay	0	0.0
32	33	Jay	0	0.0
33	34	Jay	0	0.0
34	35	Jay	0	0.0
35	36	Jay	0	0.0
36	37	Jay	0	0.0
37	38	Jay	0	0.0
38	39	Jay	0	0.0
39	40	Jay	0	0.0
40	41	Jay	0	0.0
41	42	Jay	0	0.0
42	43	Jay	0	0.0
43	44	Jay	0	0.0
44	45	Jay	0	0.0
45	46	Jay	0	0.0
46	47	Jay	0	0.0
47	48	Jay	0	0.0
48	49	Jay	0	0.0
49	50	Jay	0	0.0
50	51	Jay	0	0.0
51	52	Jay	0	0.0
52	53	Jay	0	0.0
53	54	Jay	1	8.5
54	55	Jay	0	0.0
55	56	Jay	0	0.0
56	57	Jay	0	0.0
57	58	Jay	0	0.0
58	59	Jay	0	0.0
59	60	Jay	0	0.0
60	61	Jay	0	0.0
61	62	Jay	0	0.0
62	63	Jay	0	0.0
63	64	Jay	0	0.0
64	65	Jay	0	0.0
65	66	Jay	0	0.0
66	67	Jay	0	0.0
67	68	Jay	0	0.0
68	69	Jay	0	0.0
69	70	Jay	0	0.0
70	71	Jay	0	0.0
71	72	Jay	0	0.0
72	73	Jay	0	0.0
73	74	Jay	0	0.0
74	75	Jay	0	0.0
75	76	Jay	0	0.0
76	77	Jay	0	0.0
77	78	Jay	0	0.0
78	79	Jay	0	0.0
79	80	Jay	0	0.0
80	81	Jay	0	0.0
81	82	Jay	0	0.0
82	83	Jay	0	0.0
83	84	Jay	0	0.0
84	85	Jay	0	0.0
85	86	Jay	0	0.0
86	87	Jay	0	0.0
87	88	Jay	0	0.0
88	89	Jay	0	0.0
89	90	Jay	0	0.0
90	91	Jay	0	0.0
91	92	Jay	0	0.0
92	93	Jay	0	0.0
93	94	Jay	0	0.0
94	95	Jay	0	0.0
95	96	Jay	0	0.0
96	97	Jay	0	0.0
97	98	Jay	0	0.0
98	99	Jay	0	0.0
99	100	Jay	0	0.0
0	1	Harry	1	8.0
1	2	Harry	1	8.5
2	3	Harry	1	8.5
3	4	Harry	1	9.0
4	5	Harry	1	8.5
5	6	Harry	1	7.5
6	7	Harry	0	0.0
7	8	Harry	0	0.0
8	9	Harry	0	0.0
9	10	Harry	1	9.0
10	11	Harry	1	7.5
11	12	Harry	1	8.5
12	13	Harry	0	0.0
13	14	Harry	1	8.5
14	15	Harry	1	8.0
15	16	Harry	1	8.0
16	17	Harry	1	7.5
17	18	Harry	1	8.0
18	19	Harry	1	8.5
19	20	Harry	0	0.0
20	21	Harry	0	0.0
21	22	Harry	1	9.0
22	23	Harry	0	0.0
23	24	Harry	0	0.0
24	25	Harry	1	9.0
25	26	Harry	0	0.0
26	27	Harry	1	9.5
27	28	Harry	1	9.5
28	29	Harry	0	0.0
29	30	Harry	1	8.5
30	31	Harry	1	8.5
31	32	Harry	1	9.0
32	33	Harry	0	0.0
33	34	Harry	0	0.0
34	35	Harry	0	0.0
35	36	Harry	0	0.0
36	37	Harry	1	8.0
37	38	Harry	1	7.5
38	39	Harry	1	8.5
39	40	Harry	0	0.0
40	41	Harry	0	0.0
41	42	Harry	0	0.0
42	43	Harry	0	0.0
43	44	Harry	0	0.0
44	45	Harry	0	0.0
45	46	Harry	0	0.0
46	47	Harry	1	8.0
47	48	Harry	0	0.0
48	49	Harry	0	0.0
49	50	Harry	0	0.0
50	51	Harry	0	0.0
51	52	Harry	0	0.0
52	53	Harry	0	0.0
53	54	Harry	1	8.0
54	55	Harry	0	0.0
55	56	Harry	0	0.0
56	57	Harry	0	0.0
57	58	Harry	0	0.0
58	59	Harry	0	0.0
59	60	Harry	0	0.0
60	61	Harry	1	8.0
61	62	Harry	0	0.0
62	63	Harry	0	0.0
63	64	Harry	0	0.0
64	65	Harry	0	0.0
65	66	Harry	0	0.0
66	67	Harry	0	0.0
67	68	Harry	1	8.0
68	69	Harry	0	0.0
69	70	Harry	0	0.0
70	71	Harry	0	0.0
71	72	Harry	0	0.0
72	73	Harry	1	8.5
73	74	Harry	1	8.5
74	75	Harry	0	0.0
75	76	Harry	0	0.0
76	77	Harry	0	0.0
77	78	Harry	0	0.0
78	79	Harry	1	8.0
79	80	Harry	0	0.0
80	81	Harry	1	9.0
81	82	Harry	0	0.0
82	83	Harry	0	0.0
83	84	Harry	0	0.0
84	85	Harry	0	0.0
85	86	Harry	0	0.0
86	87	Harry	0	0.0
87	88	Harry	0	0.0
88	89	Harry	0	0.0
89	90	Harry	1	8.0
90	91	Harry	1	9.0
91	92	Harry	0	0.0
92	93	Harry	0	0.0
93	94	Harry	0	0.0
94	95	Harry	0	0.0
95	96	Harry	0	0.0
96	97	Harry	0	0.0
97	98	Harry	0	0.0
98	99	Harry	0	0.0
99	100	Harry	1	7.5
0	1	Veiko	1	9.0
1	2	Veiko	0	0.0
2	3	Veiko	0	0.0
3	4	Veiko	1	7.0
4	5	Veiko	1	7.0
5	6	Veiko	1	8.0
6	7	Veiko	1	7.0
7	8	Veiko	0	0.0
8	9	Veiko	1	8.0
9	10	Veiko	0	0.0
10	11	Veiko	1	8.0
11	12	Veiko	1	7.0
12	13	Veiko	0	0.0
13	14	Veiko	0	0.0
14	15	Veiko	1	7.0
15	16	Veiko	1	7.0
16	17	Veiko	1	6.5
17	18	Veiko	1	7.0
18	19	Veiko	1	6.0
19	20	Veiko	1	6.0
20	21	Veiko	0	0.0
21	22	Veiko	0	0.0
22	23	Veiko	0	0.0
23	24	Veiko	0	0.0
24	25	Veiko	0	0.0
25	26	Veiko	1	8.0
26	27	Veiko	1	8.5
27	28	Veiko	1	7.0
28	29	Veiko	0	0.0
29	30	Veiko	0	0.0
30	31	Veiko	0	0.0
31	32	Veiko	0	0.0
32	33	Veiko	0	0.0
33	34	Veiko	0	0.0
34	35	Veiko	1	8.5
35	36	Veiko	0	0.0
36	37	Veiko	1	7.5
37	38	Veiko	1	8.0
38	39	Veiko	1	7.5
39	40	Veiko	0	0.0
40	41	Veiko	1	7.5
41	42	Veiko	0	0.0
42	43	Veiko	1	8.0
43	44	Veiko	0	0.0
44	45	Veiko	0	0.0
45	46	Veiko	0	0.0
46	47	Veiko	0	0.0
47	48	Veiko	0	0.0
48	49	Veiko	0	0.0
49	50	Veiko	1	7.0
50	51	Veiko	1	6.0
51	52	Veiko	1	8.0
52	53	Veiko	1	8.5
53	54	Veiko	1	8.5
54	55	Veiko	0	0.0
55	56	Veiko	0	0.0
56	57	Veiko	1	8.0
57	58	Veiko	0	0.0
58	59	Veiko	1	8.0
59	60	Veiko	0	0.0
60	61	Veiko	1	7.0
61	62	Veiko	1	7.0
62	63	Veiko	0	0.0
63	64	Veiko	1	6.0
64	65	Veiko	0	0.0
65	66	Veiko	1	8.0
66	67	Veiko	0	0.0
67	68	Veiko	1	8.0
68	69	Veiko	0	0.0
69	70	Veiko	0	0.0
70	71	Veiko	0	0.0
71	72	Veiko	0	0.0
72	73	Veiko	1	5.0
73	74	Veiko	1	7.0
74	75	Veiko	0	0.0
